Harm. #	Coeff. a	Coeff. b	Amplitude	Phase
404	-0.00261022	-0.00050890	0.00265937	0.19254993
405	-0.00178901	-0.00152514	0.00235088	0.70594606
406	-0.00412281	0.00054877	0.00415918	-0.13232830
407	-0.01171921	-0.00171461	0.01184397	0.14527690
408	-0.00670902	-0.01053635	0.01249102	1.00379250
409	0.00649485	-0.00791445	0.01023824	-0.88360079
410	0.00265307	-0.00206011	0.00335900	-0.66024624
411	-0.00540056	-0.00776918	0.00946183	0.96334950
412	-0.00259745	-0.00642499	0.00693017	1.18661140
413	0.00016736	-0.00792929	0.00793106	-1.54969252
414	0.00370364	-0.00525114	0.00642584	-0.95652026
415	0.00160356	0.00663090	0.00682204	1.33351993
416	-0.01658077	0.00741849	0.01816469	-0.42070229
417	-0.00175432	-0.02054595	0.02062071	1.48561793
418	0.02515966	0.00258155	0.02529176	0.10224868
419	-0.00134489	0.02404924	0.02408681	-1.51493212
420	-0.01622582	-0.00675877	0.01757721	0.39468668
421	0.00820529	-0.01700781	0.01888366	-1.12129310
422	0.01694375	-0.00299705	0.01720677	-0.17507133
423	0.00543542	0.00170973	0.00569798	0.30475382
424	-0.00482395	-0.01042513	0.01148711	1.13741246
425	0.01508236	-0.00400486	0.01560501	-0.25954342
426	-0.00172421	0.01440792	0.01451073	-1.45169158
427	-0.00100345	-0.01651355	0.01654401	1.51010554
428	0.02908177	0.00796938	0.03015394	0.26746743
429	-0.01302845	0.02408289	0.02738113	-1.07490169
430	0.00871958	-0.03160804	0.03278871	-1.30162526
431	0.03019899	0.00477098	0.03057354	0.15668975
432	-0.00043681	0.00677587	0.00678994	-1.50642003
433	-0.00623380	-0.00139226	0.00638738	0.21973371
434	-0.01034932	-0.00233099	0.01060858	0.22153411
435	-0.03095880	-0.01656367	0.03511128	0.49127177
436	-0.00766175	-0.04013663	0.04086137	1.38217384
437	0.03048503	-0.05498215	0.06286791	-1.06454053
438	0.10986443	0.05812560	0.12429311	0.48662961
439	0.00047219	-0.00219697	0.00224714	-1.35908868
440	0.00437302	0.02923062	0.02955592	1.42229361
441	-0.00804129	-0.02590697	0.02712625	1.26983396
442	0.01495360	0.04863657	0.05088346	1.27251335
443	0.01273405	-0.02994451	0.03253966	-1.16870978
444	0.02817619	0.04161305	0.05025479	0.97560549
445	0.01955764	-0.02038067	0.02824665	-0.80600275
446	0.00488510	0.03381537	0.03416641	1.42732501
447	-0.00208126	-0.00700178	0.00730456	1.28186674
448	-0.00284554	0.02095300	0.02114533	-1.43581636
449	0.01240716	-0.00201445	0.01256963	-0.16095761
450	-0.00803829	0.03247777	0.03345772	-1.32817080
451	-0.00588513	0.00400281	0.00711739	-0.59728407
452	-0.01614014	0.01649677	0.02307916	-0.79632493
453	-0.00669510	-0.00484030	0.00826153	0.62597131
454	-0.00774874	0.00119014	0.00783960	-0.15240043
455	0.01152909	-0.00566364	0.01284510	-0.45662155
456	-0.00605381	0.01124015	0.01276674	-1.07675703
457	-0.00207614	0.00072694	0.00219972	-0.33679893
458	-0.00655984	-0.00674446	0.00940846	0.79927370
459	0.01382171	-0.00029456	0.01382485	-0.02130823
460	-0.00131066	0.00693106	0.00705390	-1.38390378
461	0.00311539	0.00232667	0.00388832	0.64147013
462	0.00185938	-0.00077449	0.00201423	-0.39467590
463	0.00400563	0.00121000	0.00418440	0.29335962
464	0.00293956	0.00317232	0.00432488	0.82346284
